Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
How to Confidently Negotiate Your Salary,"Learn how to confidently negotiate your salary and ask for what you are worth. In this course, adapted from the American Negotiation Institute podcast <em>Negotiate Anything</em>, Kwame Christian joins Meggie Palmer to discuss the topic of salary negotiation. Meggie is the founder and CEO of <a href=""https://www.peptalkher.com/"" target=""_blank"">PepTalkHer</a>, a tech-coaching program empowering women and helping companies close the gender gap. Learn how to gain confidence through preparation, recognize your value, negotiate in the job you have now, and take the time you need when you’re considering an offer from a new company. These tips will help you get the salary and benefits package you deserve—no matter your position.<br><br>

This course was created by the American Negotiation Institute. We are pleased to offer this training in our library.",Course,2022-05-31 21:37 UTC,N/A,true,N/A,
How to Land Job Interviews without Applying Online,"Applying online is a tough way to land a job, in today’s market. The data shows us that fewer than 2% of candidates who apply online actually get in the door for an interview. So what should you do instead? In this course, Austin Belcak walks you through the steps you can take to generate a steady pipeline of interviews at your target companies — without submitting a single online application! Austin shows you a new approach to job searching that focuses on generating referrals, instead of applying online. He explains ways you can apply this approach directly on LinkedIn, as well. This approach allows you to have more control over landing a job at one of the companies that you really want to work for, and it improves your chances of landing interviews and offers at those companies, without the endless online applications!",Course,2023-01-20 03:25 UTC,N/A,true,N/A,
No-Code Solutions for Websites and Apps (2021),"Got a brilliant idea for a mobile application or website? Even if you've never touched a code editor in your life, you can still make your concept a reality using one of the many no-code tools currently on the market. In this course, get a broad overview of some of the options available for designing and creating websites and applications without involving (much, if any) code and engineering. Instructor Jen Kramer explains what the current market of no-code website editors looks like, as well as the benefits and limitations of opting for a no-code toolset. She also breaks down the most popular platforms and tools that support no-code development. Learn how to build web apps with Bubble, generate mobile apps with Thunkable, make interactive content with Outgrow, and more. Tune in to get acquainted with some of the latest and greatest tools in the no-code universe.",Course,N/A,N/A,true,N/A,
Developing Your Emotional Intelligence,Emotional intelligence can help you build strong relationships at work and respond to change effectively. Psychologist and author Dr. Gemma Leigh Roberts explains what emotional intelligence (EQ) is and why it's important. She helps you become more self-aware so that you can identify triggers that may hijack your performance. Gemma also helps you align your intentions and your impact so that you can build collaborative relationships.,Course,2023-06-30 12:57 UTC,N/A,false,N/A,
Working Professionally with Your Drone,"Drones have become the standard for aerial photography. In the past, photographers and videographers had to hire an airplane or helicopter. Today remote pilots can do the job! Many photographers have an aerial vehicle to supplement their earth-bound cameras. In this course, instructors Luisa Winters and Francis Torres cover in depth the core information you need to do professional work with your drone. Topics include the basis of legal issues; how to get clients; how to fly your drone for construction, cinematic, and real estate clients; special considerations when flying your drone at night; and how to fly for hyperlapses and 360-degree video. Get informed and maximize the potential of your drone!
<br><br>
Note: This course was created by Luisa Winters. We are pleased to host this training in our library.",Course,2022-06-05 21:05 UTC,N/A,false,N/A,
Learning Lightroom CC (2018),"Get started with Lightroom CC, the powerful, cloud-centric system from Adobe for editing, organizing, and sharing your photos. In this course, photographer and instructor Jan Kabili provides an approachable introduction to Lightroom CC. Jan showcases Lightroom CC on the desktop, but the techniques she covers in this course can help you work with Lightroom CC on your phone or tablet and on the web. She demonstrates how to import photos and leverage intuitive editing controls to make your photos shine. Learn how to adjust lighting, color, and perspective; edit parts of a photo using local editing tools; apply creative photo editing techniques such as split toning; and lots more. To wrap up, Jan shares tips for organizing and sharing your work.",Course,N/A,N/A,true,N/A,
Marketing and Monetizing on YouTube,"YouTube is a great place to market a product or service and generate ad revenue. Join Anson Alexander to learn the secrets of starting and maintaining a successful and profitable YouTube channel. First, learn how to set up a business account in YouTube Studio and discover strategies for producing video content optimized for discovery and ad placement. Then explore different monetization strategies, from joining the YouTube Partner Program to selling merchandise directly to subscribers. You can also learn how to customize your YouTube channel page to fit your brand, and  apply tried-and-true SEO techniques to help your videos reach the top of search results. Finally, Anson shows how to use YouTube Analytics to better guide your content strategy moving forward.",Course,N/A,N/A,true,N/A,
Digital Marketing Trends,"<p><div><a href=""https://www.linkedin.com/newsletters/6642894648903823360?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Martin's LinkedIn Newsletter</a></div><br>Stay up to date on the latest trends in digital marketing. In this biweekly series, marketing and social media expert Martin Waxman explores the newest tools and techniques that marketers are using to reach their customers. Find out what's new, how it will affect your business, and what other companies are doing to adapt. Every two weeks you can explore a new topic, including mobile, voice search, video and live streaming, artificial intelligence and virtual reality, the evolution of social media, and regulations like GDPR. The course is an effective way to understand what's happening in the world of marketing and how you can leverage these trends to help make your business more successful.</p><p>Note: Because this is an ongoing series, viewers will not receive a certificate of completion.</p>",Course,N/A,N/A,true,N/A,
Learning Java 11,"Java is one of the top five programming languages, and is used for websites, embedded controllers, and Android app development. Interested in learning how to code with Java? Join instructor Kathryn Hodge as she helps you get up and running with this popular language. Kathryn covers all the basics: Data types, strings, functions, and loops. She helps you control the flow and logic of your code, and debug your project to make sure it runs perfectly. Along the way, she provides real-world examples and introduces challenges that allow you to practice your new skills. This course is perfect for developers who need to get up to speed with Java fast, as well as for beginning programmers who want their first taste of this popular language.",Course,2021-04-21 01:57 UTC,N/A,true,N/A,
Nano Tips for Peak Performance with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, find out how to supercharge your performance, exploring key insights and techniques from peak performance researcher and behavioral strategist to Fortune 500 companies, Shadé Zahrai.  
<br><br>
Learn how to optimize your brain power, habits you can establish for success, and how you can set up a commitment to excellence to level up your career and performance for the long term.",Course,2023-03-29 01:02 UTC,N/A,false,N/A,
Entrepreneurship Foundations,"Join Kim Kaupe as she shares the steps to becoming a successful entrepreneur. Kim begins by providing a set of tools to assess a potential business opportunity, outlines some of the challenges you might face, and offers a formula for starting small and creating your new company. She covers how to raise funds and the importance of having the right tools available. She also identifies the important people in the process of entrepreneurship and how each plays a powerful role in your success. Finally, Kim shares how to find a tribe of supporters and how to scale your new business.",Course,N/A,N/A,true,N/A,
Understanding and Supporting Asian Employees,"Underrepresented employees face unique challenges in the workplace, and understanding how to support them in these challenges is key to building a more inclusive workplace. Dr. Sarah-SoonLing Blackburn shows you how to get started. She begins with important terminology and breaks down the model minority myth. Dr. Blackburn explains why lived experiences matter in the workplace and goes over several issues that impact Asian employees at work. She points out that the Asian community is not a monolith and discusses ways to build a more meaningfully inclusive workplace culture. Dr. Blackburn covers several steps you can take to support Asian employees, such as making space for discussion and speaking up against bias. She concludes by describing how everyone has a role to play in creating inclusive workplace environments. 
<br><br>
Note: This course contains US-based examples and scenarios; however, learners around the world may still find the concepts applicable.",Course,2023-05-14 16:21 UTC,N/A,false,N/A,
Composable SwiftUI Architecture Using Redux: 1 Introduction,"Do you need to learn about the Redux design pattern and the problems it solves for building applications? Instructor Mohammad Azam has you covered. In this course, he introduces Redux.js.org and shows you how it is applied, the types of problems it solves, and how it interacts with the view hierarchy. Mohammad explains the Redux flow diagram, store reducers, state actions, and middleware, to give you a clearer picture of the complete Redux architecture. He walks you through building an application that changes the global state, then covers how and why to combine reducers. Plus, Mohammad shows you how to implement a simple middleware in your application.
 <br><br>
Note: This course was created by Mohammad Azam. We are pleased to host this training in our library.",Course,2023-04-10 15:56 UTC,N/A,false,N/A,
UX Foundations: Accessibility,"The Internet has removed many obstacles to communication and interaction. However, when websites, technologies, or tools are poorly designed, they can create barriers that exclude people with disabilities from using the web. In this course, you'll learn how accessibility lowers the barrier to entry, by providing equal access and opportunity to people with a diverse range of hearing, movement, sight, and cognitive abilities. Derek Featherstone introduces the core concepts of accessibility as they apply to UX design, including an overview of the assistive technology visitors may use to access your projects. He includes practical examples, from re-creating visual interactions to writing great alternative text; introduces different personas and their unique challenges navigating the web; and shows how to make accessibility a regular part of your design workflow. Once you learn the foundations, you'll find that the benefits of accessibility--enhanced search, improved usability, and increased audience reach--aid your designs almost as much as they aid your users.",Course,N/A,N/A,true,N/A,
Building Production-Ready React Apps: Setup to Deployment with Firebase,"<p>Do you need to build applications with ReactJS, the popular JavaScript front-end framework developed by Meta (formerly Facebook)? In this course, web developer and trainer Sandy Ludosky guides you through the process of building a single-page application efficiently, using built-in utilities and out-of-the-box tools. Learn how to set up the tools and files that you will need for this course, then step through starting a new React project. Explore tools to help you move from stateless to stateful React components, and go over how to use the Context API to manage the state of your app. Find out how to add the Firebase to your React project, then connect to a Cloud Firestore database. Dive into functionality like creating a bucket to store images, authenticating and managing users, and implementing client-side routing with React-Router V6. Learn about filtering, searching, and debugging. Plus, go over how to deploy your React app using Firebase Hosting.</p>",Course,2023-05-07 22:10 UTC,N/A,false,N/A,
Apple watchOS 4 App Development Essential Training,"There are over 2 million iOS apps available in the App Store, but less than 1% work on the Apple Watch. This underserved market is a great opportunity for Apple developers. Learn how to use your existing skills—plus the tools in Xcode 9 and watchOS 4—to create apps for Apple Watch. In this course, Steven Lipton shows you how to build a simple watchOS app, and then demonstrates the key differences from iOS, such as the watch picker, haptics, and the digital crown. Along the way, he shows how to create quick layouts with Interface Builder, navigate between controllers, enable dictation for text controls, and build tables. With these tips, you can quickly transition from iOS to watchOS app development and start entering the world of programming for wearable devices.",Course,N/A,N/A,true,N/A,
Social Media Marketing Foundations (2020),"Social media dramatically altered marketing by allowing businesses to directly engage with customers and vice versa. Brands that stand the test of time will use these platforms to create fresh connections and build long-term loyalty. In this course, you can learn the basics of social media marketing. Instructor Brian Honigman—a top marketing consultant—explains why making an investment in social media can benefit your business. He shows how to define your audience and craft a social media strategy focused on your organization's goals. He also teaches you how to communicate effectively on leading social networks such as Facebook, Instagram, and Snapchat; drive results with paid ads; and measure your success.",Course,N/A,N/A,true,N/A,
Marketing on Instagram,"This course is perfect, if you're interested in marketing your product or service on Instagram, a Meta platform. Join Anson Alexander as he acquaints you with key features and digital marketing strategies that can help improve your online presence and boost sales using the popular social platform. Anson demonstrates how to use built-in Instagram tools for businesses, brainstorm content ideas, and develop a posting schedule based on the activity of your target market. He shares tips for creating engaging content with Instagram Stories, Reels, IGTV, and Guides. Anson explores using hashtags and location tagging to increase visibility, and demonstrates how to use Instagram Insights to review statistics and metrics regarding your posts. He also shows how to create shopping posts in Instagram Shopping as well as how to use paid ads to reach a wider audience. Plus, Anson provides insider tips and secrets that can help you navigate the Instagram community like a pro.",Course,N/A,N/A,true,N/A,
LinkedIn Quick Tips,"This collection of LinkedIn quick tip videos is designed to demonstrate helpful tricks, explain useful features, and provide quick answers to the most common questions about how to use LinkedIn. Follow along as LinkedIn staff instructor Oliver Schinkten shares easy ways to improve your profile, grow your network, search for jobs, customize settings, and make the most of LinkedIn. He covers how to connect with individuals and groups, research careers and apply for jobs, update your profile, post original content, improve your feed, and more.",Course,2023-05-22 19:45 UTC,N/A,false,N/A,
Job Seeking with a Criminal Record,"Looking for a job can be challenging, but if you have a criminal record, it can be especially difficult. In this course, reentry employment expert Genevieve Rimer shows you how to prepare yourself for a successful job search with a criminal record.<br><br>Learn about proven strategies for building your confidence, recognizing your skills, and communicating your strengths and professional know-how with your resume, network, and much more. Brainstorm possible roles and industries that interest you and find out how to tap into your network to land a new job online, exploring techniques to search for opportunities with Fair Chance employers on LinkedIn. Along the way, Genevieve shares tips to help you ace your interview and successfully navigate challenging questions about your employment and conviction history.",Course,2023-06-05 18:43 UTC,N/A,false,N/A,
Powerful Prioritization with the 80/20 Rule,"In this audio-only course adapted from the <i>How to Be Awesome at Your Job</i> podcast, Pete Mockaitis talks with business consultant Perry Marshall about the 80/20 rule, also known as the Pareto principle, and how you can use it to achieve massive results in your work and life. As Perry explains, while most people know the basics of the 80/20 rule—that 80% of an outcome comes from 20% of causes—few know that within that initial 20% lies another 80/20 breakdown, and another within that, and on and on. By applying the 80/20 rule exponentially, you can, according to Perry, prioritize your time more effectively by identifying the most impactful tasks. Perry also details how you can even use your procrastination tendencies to find your priorities and achieve more significant results in the long run.
 
<br><br>This course was created by Pete Mockaitis of <i><a href=""https://awesomeatyourjob.com/"" target=""_blank"">How to Be Awesome at Your Job</i></a>. We are pleased to offer this training in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAIBpAic0FsSvQXaA8NB7qnVcIw.jpg"" alt=""Company logo for How to Be Awesome at Your Job"" width=""20%"" height=""20%""/>",Course,2022-05-31 21:37 UTC,N/A,true,N/A,
Design Thinking: Understanding the Process,"Curious about design thinking? It's the design methodology on everyone's mind. While it's not magic, design thinking can help you save time and find more creative solutions to your customers' needs. Having a good understanding of the process will help you explain the benefits to management and clients and implement design thinking at your organization. In this course, Chris Nodder explains where design thinking fits into product development and what it can help you achieve. He describes each step in the process, from identifying the problem you want to solve and brainstorming solutions, to prototyping, development, and release. Learn about the pros and cons of this approach and how to overcome challenges such as organization inertia and silos. Done right, design thinking can start your organization moving toward broader user-centered design techniques such as information architecture, content testing, usability testing, and marketing research.",Course,N/A,N/A,true,N/A,
30-Minute Resume Refresh,"<p>Your resume should evolve as you do in your career. Learn how to quickly revamp the look and content of your resume to make it stand out to recruiters and hiring managers, and land your ideal career. Instructor Sho Dewan, the CEO of Workhap and a LinkedIn Top Voice for Job Search & Careers, shares advice from the perspective of a former recruiter.</p>
<p>Sho discusses the underlying purpose of a resume, as well as the importance of refreshing this critical document regularly—particularly when you’re applying to new roles. He then covers actionable steps you can take to give your resume a contemporary look, tailor it for each role you apply to, and craft a winning resume with a recruiter’s priorities in mind.</p>",Course,2023-04-03 04:04 UTC,N/A,false,N/A,
Creating and Managing a YouTube Channel,"YouTube is where video and video creators thrive. By creating a YouTube channel, you can build a highly visible online brand and share content with the world. This course explains how to set up a brand-new YouTube channel, build your subscriber base, and convert clicks into action. Throughout the course, instructor Rich Harrington shares essential strategies for building an audience and maximizing engagement. Rich explains how to design compelling artwork, choose engaging thumbnails, and use YouTube cards and captions. He also dives into building a YouTube community, live streaming, and more. Start watching and learn everything you need to build a YouTube channel into a successful business.
<br><br>
This course was created by Rhed Pixel. We are pleased to host this training in our library.",Course,2022-05-31 21:37 UTC,N/A,true,N/A,
PCI 4.0 First Look,"Are you wondering what’s new in PCI 4.0? In this course, Laura Louthan dives into the critical differences between version 3.2.x of PCI DSS and the new version 4.0 after giving you a brief refresher on PCI Compliance. Laura explains clearly why these changes are important now. She describes how PCI 4.0 changes how PCI Compliance works, through both the standards that are involved and the way the assessments are performed, then goes over general changes, critical new features, and her views on the best changes. Laura also covers how you can apply what you’ve learned to educate your organization about the changes in PCI 4.0 and begin evaluating a roadmap toward the goal of meeting PCI DSS 4.0.",Course,2022-07-09 17:57 UTC,N/A,false,N/A,
Financial Basics Everyone Should Know,"How do banks work? Are you saving enough for retirement? Considering the answers to these questions and understanding financial basics is critical to planning a strong financial future. This course breaks down the mystery around the financial industry and provides practical knowledge for everyone, so you can manage accounts in an informed way, whether you are working with a financial advisor or not. Topics covered include savings, investments, insurance, retirement, and more.",Course,N/A,N/A,true,N/A,
"C Programming Basics: Flow Control, Variables, and Pointers","Released in 1973, C is still at the center of it all. In this course, get a quick introduction to the vocabulary and basics of programming in C, the language that inspired C++, Objective-C, and many others. Instructor Dan Gookin covers flow control, variables, and other basic topics, but also introduces advanced concepts such as pointers and memory allocation. Plus, he provides challenges that allow you to test your learning along the way.",Course,N/A,N/A,true,N/A,
React: Design Patterns,"If you’ve learned the basics of React and have worked on many React applications, chances are you’ve run into some recurring problems and situations, like creating reusable layouts or working with forms. If you’ve been on the hunt for solutions to common problems, look no further than this course with Shaun Wassell, where he covers many of the most useful design patterns—effective and repeatable solutions to common application development challenges. This course consists of several sections, each of which will cover a group of React design patterns, ranging from preferred syntax for specific tasks to how to arrange components in the most effective way. Among the topics Shaun covers are composition, higher-order components, state hoisting, controlled vs. uncontrolled components, and many other patterns that help a React app develop into a well-organized codebase.",Course,2023-04-11 17:20 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:2838147,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:2838147,Course,2022-06-13 15:00 UTC,N/A,false,N/A,
Presenting to Senior Executives,"Exposure to senior executives (also known as the C suite) can change the trajectory of your career. If you’re presenting to this audience, you need to navigate unique challenges, like getting their attention and garnering action. In this course, learn methods you can use to communicate your message effectively to these key decision makers, resulting in buy-in and response. Discover the value of brevity and the importance of conveying the return on investment (ROI). Learn how to handle challenging questions, frame your message, harness the power of story, and use a high-level approach. Explore how to navigate the unexpected, from interruptions and tech failures to re-engaging the distracted. Additionally, find out how to demonstrate competence, earn credibility, and generate results by making the most of your presentation opportunity.",Course,2023-08-12 03:29 UTC,N/A,false,N/A,
Social Media Marketing: Strategy and Optimization (2020),"Learn a three-step recipe for optimizing your social media marketing mix. Get a fresh perspective on your content, your choice of platform, and your strategy. Join digital communication strategist Martin Waxman for this illuminating short course that will get even the most experienced marketers out of a social media rut. Learn how to analyze what's working—and what's not—with SWOT analysis, and adapt your plan to capitalize on your strengths. Then Martin reviews the latest developments on Facebook, Instagram, Twitter, LinkedIn, YouTube, Pinterest, Snapchat, and TikTok, so you understand how to position your brand correctly on each platform. Plus, learn how to turn strategy into action and create paid and organic content and stories that connect.",Course,N/A,N/A,true,N/A,
Becoming an AI-First Product Leader,"<div><a href=""https://www.linkedin.com/newsletters/6835697037271457792?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Tomer's LinkedIn Newsletter</a></div><br>Artificial intelligence is changing the world, powering everything from advertising to education. Becoming a successful product leader is anchored to an AI-first mindset—and you can't lead what you don't understand. Join Tomer Cohen in this AI primer for product leaders. Learn the current use cases for AI and see how AI is impacting your role and popular products in the marketplace, including those at LinkedIn. Explore the three components of AI: the algorithms, the data, and the objective. Tomer also explains how to adopt AI product principles, shifting the mindset of your entire organization. The course wraps up with a discussion of the future of AI and its impact on product leaders like you.",Course,N/A,N/A,true,N/A,
Building a Product from Scratch,"Do you have a billion-dollar idea for a business or product but don’t know where to start? Or maybe you’re a product manager tasked with the hefty responsibility of building a new product at your company and feeling lost? In this course, Silicon Valley entrepreneur and venture capitalist Charu Sharma teaches you how to build a product from scratch, step by step. Using both real-world and fictional examples, Charu takes you through the product development journey, from your initial vague idea for a product, to understanding your potential product-market fit, to building and testing a prototype, and aligning with key stakeholders. By the end of this course, you will be equipped with the knowledge and best practices to turn your product dreams into reality.",Course,N/A,N/A,true,N/A,
Learning C++ (2018),"C++ is an efficient and versatile programming language. C++ powers systems software, desktop applications, and even video games, and it's the language that helped land humans on the moon. Simply put, C++ is a must-know for any modern-day programmer—and it's a great place to get started if you're programming for the first time. This course will get you up and running fast. Instructor Erin Colvin covers simple data types, including numbers and strings; flow-control features like loops and if, else, and switch statements; and functions, the code that encapsulates tasks your program performs. Dr. Colvin also covers working with files and special data structures such as classes and linked lists. Each chapter is full of practical code examples and challenges to help you practice your C++ skills.",Course,N/A,N/A,true,N/A,
Become a Digital Trust & Safety Leader,"Trust and Safety (T&S) is quickly becoming a priority for all digital platforms and brands. A lack of T&S measures can lead to online toxicity, which can damage users’ digital wellness, brands’ reputation, and platforms’ ability to acquire, retain, and engage users. Companies seek out T&S leaders and operators to minimize such damages. However, the supply of T&S professionals falls short of the rapidly rising demand. In this first-of-its-kind course, instructor Tiffany Xingyu Wang provides a concrete pathway for T&S leaders to grow, and for aspiring ones to enter the field. Tiffany takes you through the benefits of investing in trust and safety, as well as ways to build internal visibility and alignment. She covers privacy and sustainability concerns, ways to drive safety by design, and techniques to scan challenges you may face. Plus, Tiffany steps you through building a T&S department and getting your organization’s C-suite on board with T&S. <br><br>The following course contains references to sensitive issues dealing with online behavior which may not be suitable for all audiences.",Course,2022-07-29 22:49 UTC,N/A,false,N/A,
Building an Audience on Instagram for Creators,"Maybe you want to be Instagram-famous, or maybe you’d just like to draw some extra attention to a special sale you’re running. Whatever your goals may be, using the right hashtags on Instagram, a Meta platform, can help you achieve them. This brief course goes over practical techniques to build and retain your audience. To make the best use of hashtags, you need to understand the hashtag algorithm in Instagram and know how many hashtags to use in a post and where to put them. Once you have that figured out, discover how to create your own branded hashtag, how to pick the best hashtags to attract your audience, how to know if your hashtags are working, and more. As a bonus, learn how following and interacting with hashtags can help you gain new followers and keep them more engaged.",Course,N/A,N/A,true,N/A,
Generative AI for Digital Marketers,"Artificial intelligence has seemingly boundless applications, and like many other industries, digital marketing is being remade by AI. In this course, Martin Waxman shows you how to sort through the hype, develop strategies, and find the right generative AI tools that help you achieve your business goals. Martin starts by explaining the difference between narrow and general artificial intelligence and what each does. He then discusses how generative AI writing, design, and productivity tools will alter your digital marketing and creative workflows. He shows you how to develop and implement a process to test and evaluate generative AI tools and select the ones that work best for your team and your business. You’ll also learn how to effectively incorporate generative AI tools into a digital marketing workflow. Finally, discover key issues digital marketers face when using AI tools and develop a strategy to successfully manage them.",Course,N/A,N/A,true,N/A,
Docker for Developers,"<strong>Projects</strong>
<ul><li>Build and deploy a Docker app.</li></ul>

<p>Discover how to leverage Docker for application development. Instructor Emmanuel Henri—an executive and full-stack developer with 20 years of experience in programming, technology, and design—walks you through deploying your first Docker app, from base application setup to deploying your app to the cloud.</p>",Course,2022-06-11 18:36 UTC,N/A,false,N/A,
Recession-Proof Career Strategies,"You can't control when the next recession will hit—but that doesn't mean your career is at the mercy of the market. Economist Jason Schenker shares six key strategies that can help you manage your career—and even thrive—when the market takes a turn. Throughout this course, Jason shares practical tactics that can help you become recession proof. Learn how to prepare for a recession—of company, industry, or country—before it even hits; how to dig in and fight a recession; how to invest in yourself during challenging economic times; and more. Plus, learn about the different varieties of recessions, as well as how to determine if one is imminent.",Course,2022-05-31 19:32 UTC,N/A,false,N/A,
Personal Finance Nano Tips with Brittney Castro,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. Are you looking to learn the finance skills they didn't teach you in high school, but that every adult needs to know? Join financial planner Brittney Castro as she provides some quick tips that can help you with basic finance issues like cutting out unnecessary expenses and making a budget, to topics like sorting capital gains and investing in crypto currencies.",Course,2022-07-31 04:19 UTC,N/A,false,N/A,
Building Your First iOS 13 App,"Want to turn your idea into a full-fledged iOS app? Learn how in this course. Todd Perkins shows folks new to iOS development how to create an iOS app in the span of an afternoon, sharing best practices along the way. Todd covers the code, tools, frameworks, and practices for building iOS applications, including how to create an Xcode project, run your first app, build a user interface, and code interactivity. Throughout the course, he includes the latest techniques and methods available with the release of iOS 13.",Course,N/A,N/A,true,N/A,
Lightroom: Get Professional Results,"Explore the powerful photo-improvement capabilities of Adobe Lightroom for transforming average images into professional-looking photos. Learn how to crop images for better composition, correct photos for amazing color, and improve lighting and exposure. Discover ways to enhance details, learn how to use the histogram, and learn about when you might need to move up to Photoshop.",Course,N/A,N/A,true,N/A,
Technical Product Management,"Are you interested in exploring a career as a Product Manager in a tech organization, but are concerned you may lack the technical background required? If you’re passionate about technology, are always thinking about new product ideas and enjoy solving problems, then the role of a technical product manager might be just right for you! There’s no straightforward path that leads to a career in technical product management and indeed the role needs a fluid skill set that requires you to wear different hats throughout the product development lifecycle—from idea generation, to coming up with creative solutions, to the implementation stage, and final rollout. In this course, Dr. Marily Nika covers what the role of a technical product manager entails and describes some of the key concepts, skills, mindsets, and frameworks that will make you a great fit for this role, with or without a technical background.",Course,N/A,N/A,true,N/A,
Dealing with Microaggression as an Employee,"In this course, Toni Lowe, a sought-after speaker and senior HR leader specializing in diversity, inclusion, equity, and belonging, teaches you how to identify and address everyday, subtle, intentional and unintentional actions or behaviors that perpetuate bias toward marginalized groups in the workplace. Toni defines microaggression and identifies the three distinct types of microaggressions: microassaults, microinsults, and microinvalidations. While the word ""micro"" means ""small,"" each instance of microaggression has a big impact on the employee experience, physical health, and psychological well-being. Toni provides actionable steps you can take to create safe spaces in the workplace for coping and developing a support system. She discusses how to effectively address past behaviors directly with the offender or through a third party, then walks you through how to deal with microaggressions in real time. Toni concludes with her three-step framework for dealing with microaggression.",Course,2022-10-06 18:23 UTC,N/A,false,N/A,
Ten Habits of Mentally Strong People,"<div><a href=""https://www.linkedin.com/newsletters/6778524658191998977?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Scott's LinkedIn Newsletter</a></div><br> 
It’s a well-established fact that much like we can increase our physical strength, we can increase our mental strength as well, and that building inner strength leads to outer success. It has also been proven that the mentally strongest people have specific habits that drive their fortitude. In this course, Scott Mautz teaches different habits you can incorporate into your daily routine to specifically build your mental strength, contributing to success on so many fronts. Scott shows you how to strive for authenticity instead of approval; choose who gets to criticize you; avoid falling victim to comparison; stop asking for permission; stop giving away your power, and more.",Course,2023-05-25 16:44 UTC,N/A,false,N/A,
Python Code Challenges ,"Want to test your Python skills? These concise challenges let you stretch your brain and test your talents. Instructor Barron Stone shares over a dozen Python challenges, as well as his own solutions to each problem—the majority of which are less than two dozen lines of code. You can tackle each problem using the tools in the Python standard library, or opt for the library of your choice. And since each challenge is self-contained, you can complete the course in any order—and at your own pace. Tune in to get the hands-on practice you need to keep your skills sharp.",Course,2022-05-13 23:58 UTC,N/A,false,N/A,
Agile Project Management with Jira Cloud: 2 Lean and Agile Processes,"In this course, explore the difference between lean and agile, and learn to identify kanban systems. Walk through what scrum is, learn how to define velocity and scrum roles, and start creating a scrum project. Discover quick searches and basic searches, as well as how to use both in Jira. Plus, explore Jira Query Language (JQL).<br><br>Note: To check out other Atlassian University courses about Jira workflows, reporting, automation, and more, click <a href=""https://university.atlassian.com/student/catalog/list?category_ids=21560-jira-software?utm_source=linkedin-learning&utm_medium=comarketing&utm_campaign=P:uni-training*O:university*C:bio*I:linkedin-learning*"" target=""_blank"">here</a>.",Course,2023-05-06 20:29 UTC,N/A,false,N/A,
Technology for Product Managers,"Product managers must know technology basics. They need to have the vocabulary to speak to engineers, UX designers, and executives-and translate messages between these very different stakeholders. A product manager should know how the internet works, how front end differs from back end, what the major programming languages are, and why web and mobile developers are so in demand. This course provides an overview of the basics, including terminology and trends that will affect your work and collaboration with your team.<br><br>

Instructor Cole Mercer reviews the fundamental building blocks of modern software applications-from the web that connects all the working parts, to the data, users, and the build tools that developers use every day. He discusses the differences between desktop, web, and mobile development, and reviews the role of version control systems in deployment and release.",Course,N/A,N/A,true,N/A,
Setting Up Your Small Business as a Legal Entity,"So you've decided you want to set up your own small business; you're probably wondering: Should I incorporate? If so, how do I file? And what are the costs for forming a corporate entity? Learn the answers to these questions and more, in this course with attorney and entrepreneur Dana Robinson. He covers the basics of incorporation, explaining the differences between a corporation and an LLC, helping you decide if a sole proprietorship is right for your situation, and providing advice on choosing and forming a corporate entity. Along the way, he explains how to establish bylaws, set up a tax ID for the IRS, and navigate state and local laws, in order to get your business off to a great start.<br><br>DISCLAIMER: This course is taught by an attorney and addresses US law concepts that may not apply in all countries. Neither LInkedIn nor the attorney teaching the course represents you and they are not giving legal advice. The information conveyed through this course is akin to a college or law school course; it is not intended to give legal advice, but instead to communicate basic information to help viewers understand the basics of intellectual property.",Course,N/A,N/A,true,N/A,
Hiring and Supporting Neurodiversity in the Workplace,"You may have heard the word neurodiversity, but what exactly does that mean? Our recognition that our workforce is filled with minds that don't always think like we do is important in our more inclusive world. Neurodiversity is an umbrella term that refers to autism, dyslexia, ADHD, and other learning differences. In this course, HR professional and organizational psychologist Tiffany Jameson addresses neurodiversity and the importance of recognizing how different individuals’ learning and communication style influences how they work best. She covers common challenges the neurodivergent face in the workplace, and how to best support candidates and current team members who learn and communicate differently. Tiffany also explains how helping HR identify how to adapt to a neurodivergent world and workforce is critical. As she shows, recognizing and incorporating the strengths of neurodiverse employees can lead to a better and more effective workforce.",Course,2023-06-06 02:08 UTC,N/A,false,N/A,
